Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_F,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
-0.09090909090909091,0.5,0.3333333333333333,0.5,-1.0,1.0,0.9564757709251102,-0.35017543859649125,2.6271929824561404,-1.0655579191645717,-0.6944444444444444,3.911016949152543,-0.23958333333333331,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0.2727272727272727,1.5,0.8888888888888888,1.0,-1.0,0.0,0.4354772393538913,-0.28912280701754384,3.530701754385965,-1.0087023786501643,-0.9444444444444444,12.76271186440678,-0.14791666666666667,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0.45454545454545453,0.5,0.0,0.0,-1.0,-2.0,-0.13286343612334803,-0.895438596491228,8.149122807017545,-0.7781860375169213,-1.3055555555555556,6.911016949152543,-0.36666666666666664,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
-0.5454545454545454,1.0,-0.2222222222222222,-0.5,2.0,-1.0,-0.14519823788546254,0.8708771929824561,2.93421052631579,-1.0551150647843743,-1.3055555555555556,6.911016949152543,1.2166666666666668,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
-0.5454545454545454,0.5,-1.6666666666666667,0.5,-1.0,-2.0,0.01961820851688693,-0.895438596491228,6.31140350877193,-1.1924192612647457,-1.0833333333333333,7.618644067796611,-0.36666666666666664,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.18181818181818182,0.0,0.0,-0.5,-1.0,0.0,-0.06331864904552129,-0.020350877192982456,2.807017543859649,-1.0872171726938697,-1.1944444444444444,0.6101694915254239,0.28125000000000006,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0.45454545454545453,1.0,1.1111111111111112,1.0,-1.0,1.0,3.520352422907489,0.6933333333333334,5.43421052631579,-0.9936182556565462,-1.0,0.08474576271186449,-0.22916666666666666,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
-1.2727272727272727,-1.0,-1.0,-1.0,0.0,0.0,2.8818795888399413,0.08421052631578947,6.438596491228072,-0.9131695996905821,-0.8611111111111112,0.05084745762711869,-0.26666666666666666,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
-0.8181818181818182,0.5,0.0,0.5,0.0,-2.0,2.091395007342144,0.8708771929824561,11.486842105263158,-0.9858828079675112,-1.1944444444444444,2.0338983050847457,-0.13124999999999998,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0.18181818181818182,0.0,0.0,1.0,1.0,1.0,0.8348898678414097,0.2814035087719298,3.4561403508771935,-0.9506865209824018,-0.9722222222222222,0.76271186440678,-0.06666666666666667,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
-0.36363636363636365,1.5,-0.5555555555555556,0.5,1.0,0.0,0.25832599118942734,0.13403508771929826,0.4166666666666666,-1.0435118932508218,-0.6944444444444444,-0.09322033898305046,0.08541666666666668,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1.7272727272727273,-0.5,2.0,1.0,0.0,1.0,0.5340381791483113,0.21824561403508771,3.05701754385965,-0.9998066138077741,-1.1388888888888888,2.805084745762713,-0.004166666666666671,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0.9090909090909091,-0.5,0.0,-0.5,4.0,-2.0,0.8460499265785609,-0.895438596491228,11.671052631578947,-0.9127828273061304,-1.3888888888888888,10.796610169491526,-0.36666666666666664,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
-1.0,0.5,-0.6666666666666666,0.5,-1.0,1.0,0.4696622613803231,0.2736842105263158,1.87280701754386,-1.0009669309611293,-0.9444444444444444,5.500000000000001,0.03958333333333337,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1.0,0.0,1.3333333333333333,0.5,0.0,0.0,-0.24822320117474303,-0.4182456140350877,1.9912280701754386,-0.9007928833881261,-1.0555555555555556,-0.38559322033898297,0.2145833333333334,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
-0.18181818181818182,1.0,0.1111111111111111,0.5,-1.0,0.0,-0.03700440528634361,-0.21333333333333335,4.2587719298245625,-0.9866563527364146,-1.1111111111111112,4.228813559322034,0.11250000000000004,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0.18181818181818182,1.0,0.0,1.0,0.0,1.0,3.0329515418502204,0.7621052631578947,4.2631578947368425,-0.8617288725584993,-1.1111111111111112,0.9618644067796615,-0.20416666666666666,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
-0.45454545454545453,0.5,-0.2222222222222222,0.0,2.0,-1.0,1.0556240822320118,0.010526315789473684,-0.3640350877192981,-1.1104235157609748,-1.2777777777777777,3.911016949152543,-0.16874999999999998,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1.3636363636363635,-0.5,2.2222222222222223,-1.0,0.0,1.0,-0.15929515418502202,0.8708771929824561,4.802631578947369,-0.9912976213498356,-1.0277777777777777,1.8686440677966105,1.2750000000000004,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
-0.09090909090909091,0.0,0.1111111111111111,1.0,-1.0,0.0,1.1654625550660793,-0.08350877192982456,1.0087719298245614,-1.0411912589441115,-1.2777777777777777,0.8771186440677969,-0.19999999999999998,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0.09090909090909091,-0.5,0.6666666666666666,0.5,0.0,-2.0,1.9301027900146843,0.36771929824561406,0.7456140350877195,-1.0524076580932122,-1.1111111111111112,0.9618644067796615,-0.1875,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1.4545454545454546,-1.0,1.4444444444444444,-1.0,1.0,1.0,-0.36542731277533036,-0.895438596491228,1.3640350877192982,-1.2403790369367627,-1.4166666666666667,-0.43220338983050843,-0.36666666666666664,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
-0.45454545454545453,0.5,-0.3333333333333333,0.0,0.0,-1.0,-0.009280469897209985,-0.4182456140350877,3.8245614035087727,-1.1479404370527944,-1.3611111111111112,3.6822033898305087,-0.04999999999999999,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0.09090909090909091,1.0,0.0,-0.5,1.0,0.0,-0.2416446402349486,0.19929824561403509,-0.7149122807017546,-1.0725198220847032,-1.2222222222222223,-1.478813559322034,0.9375000000000001,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0.7272727272727273,0.0,0.6666666666666666,0.0,0.0,1.0,0.9007929515418502,-0.895438596491228,1.486842105263158,-1.078708180235931,-1.2777777777777777,0.20338983050847476,-0.36666666666666664,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
-0.45454545454545453,0.5,-0.8888888888888888,1.0,-1.0,0.0,0.3781497797356828,0.27578947368421053,0.2675438596491231,-1.1015277509185843,-1.25,0.5550847457627119,0.08125000000000002,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1.1818181818181819,-0.5,1.1111111111111112,0.0,-1.0,0.0,1.2023494860499266,0.0687719298245614,0.8114035087719301,-1.045058982788629,-1.2222222222222223,2.533898305084746,-0.17291666666666666,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1.5454545454545454,-0.5,2.2222222222222223,-0.5,1.0,0.0,0.6656093979441997,-0.18666666666666668,0.46929824561403505,-0.7716109069812416,-0.75,1.2627118644067798,-0.16041666666666665,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.18181818181818182,0.5,-0.2222222222222222,0.5,0.0,0.0,0.6520998531571219,-0.895438596491228,-0.925438596491228,-1.1011409785341326,-1.3611111111111112,3.6822033898305087,-0.36666666666666664,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.09090909090909091,1.0,0.6666666666666666,1.0,-2.0,-2.0,0.027723935389133626,0.060350877192982454,0.013157894736842118,-1.103848385225295,-0.8055555555555556,0.838983050847458,0.2270833333333333,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0.6363636363636364,0.5,-0.3333333333333333,-0.5,0.0,1.0,-0.21098384728340674,0.37543859649122807,1.0570175438596492,-1.1065557919164573,-1.1666666666666667,7.91949152542373,1.0041666666666669,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.6363636363636364,0.0,1.3333333333333333,-1.0,3.0,-1.0,-0.2464610866372981,0.2905263157894737,2.574561403508772,-0.8907368013923805,-1.1388888888888888,3.805084745762713,1.0708333333333333,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
